service_id,customer_id,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
74,8028-PNXHQ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
75,5630-AHZIL,Yes,No,DSL,Yes,No,No,Yes,No,Yes
76,2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
77,6416-JNVRK,Yes,No,DSL,No,No,No,No,No,Yes
78,5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No
79,0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
80,3887-PBQAO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
81,5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No
82,8108-UXRQN,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
83,9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No
84,9919-YLNNG,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
85,0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
86,4445-ZJNMU,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
87,4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No
88,1862-QRWPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
89,2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
90,3016-KSVCP,No,No phone service,DSL,No,No,No,No,Yes,No
91,4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
92,2424-WVHPL,Yes,No,Fiber optic,No,No,No,Yes,No,No
93,7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
94,6067-NGCEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
95,9848-JQJTX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
96,8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
97,9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
98,0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
99,3212-KXOCR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
100,4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
101,6380-ARCEH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
102,3679-XASPY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
103,7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
104,5386-THSLQ,No,No phone service,DSL,No,Yes,Yes,No,Yes,No
105,3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
106,6180-YBIQI,No,No phone service,DSL,No,No,No,No,No,No
107,6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
108,9750-BOOHV,No,No phone service,DSL,Yes,No,No,No,No,No
109,8597-CWYHH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
110,2848-YXSMW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
111,0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
112,4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No
113,5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
114,4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
115,5256-SKJGO,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
116,3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
117,9560-BBZXK,No,No phone service,DSL,Yes,No,No,No,No,No
118,5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
119,8402-OOOHJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
120,9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
121,1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
122,2928-HLDBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
123,0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No
124,6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No
125,7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
126,4622-YNKIJ,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No
127,4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
128,6734-PSBAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
129,3930-ZGWVE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
130,2639-UGMAZ,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
131,2876-GZYZC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
132,6207-WIOLX,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
133,8587-XYZSF,Yes,No,DSL,No,No,No,Yes,No,No
134,3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes
135,2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No
136,7799-LGRDP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
137,7850-VWJUU,Yes,No,Fiber optic,Yes,No,No,No,No,No
138,3774-VBNXY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
139,6217-KDYWC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
140,0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No
141,3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
142,4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
143,1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
144,2636-SJDOU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
145,1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
146,5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
147,6837-BJYDQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
148,2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No
149,6440-DKQGE,Yes,No,DSL,No,Yes,Yes,No,Yes,No
150,3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
151,3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes
152,3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
153,1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
154,9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
155,3077-RSNTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
156,6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes
157,9167-APMXZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
158,2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
159,6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No
160,7554-NEWDD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
161,8992-VONJD,Yes,No,DSL,Yes,Yes,No,No,No,No
162,0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
163,4482-EWFMI,Yes,No,Fiber optic,No,No,No,No,No,No
164,4648-YPBTM,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
165,2907-ILJBN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
166,6345-FZOQH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
167,3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No
168,5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
169,3445-HXXGF,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
170,1159-WFSGR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
171,7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No
172,1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
173,6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
174,0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
175,5918-VUKWP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
176,1744-JHKYS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
177,2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
178,2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No
179,5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
180,3712-PKXZA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
181,6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No
182,6582-OIVSP,Yes,No,DSL,No,No,No,No,No,No
183,9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
184,5524-KHNJP,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes
185,1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
186,1024-GUALD,No,No phone service,DSL,No,No,No,No,No,No
187,4827-USJHP,Yes,No,DSL,No,Yes,No,No,No,No
188,8167-GJLRN,No,No phone service,DSL,No,No,No,Yes,No,No
189,0956-SYCWG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
190,8017-UVSZU,Yes,Yes,DSL,No,Yes,No,No,No,No
191,7100-FQPRV,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
192,2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
193,2984-RGEYA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
194,9680-NIAUV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
195,2146-EGVDT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
196,2604-IJPDU,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
197,9178-JHUVJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
198,6168-YBYNP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
199,7255-SSFBC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
200,3645-DEYGF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
201,9323-HGFWY,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
202,8544-GOQSH,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
203,3363-DTIVD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
204,7018-WBJNK,Yes,No,Fiber optic,No,No,No,No,Yes,No
205,9142-KZXOP,Yes,No,Fiber optic,No,No,No,No,No,No
206,7674-YTAFD,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
207,6348-SNFUS,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
208,1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes
209,7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
210,1347-KTTTA,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
211,7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No
212,4195-NZGTA,No,No phone service,DSL,No,No,No,No,No,No
213,7157-SMCFK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
214,4709-LKHYG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
215,2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
216,0699-NDKJM,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
217,9286-BHDQG,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
218,0230-WEQUW,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
219,2040-LDIWQ,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
220,6496-JDSSB,Yes,No,Fiber optic,No,No,No,No,Yes,No
221,9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No
222,4443-EMBNA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
223,6469-MRVET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
224,0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No
225,5961-VUSRV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
226,6778-JFCMK,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
227,6341-JVQGF,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
228,2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No
229,4811-JBUVU,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
230,0945-TSONX,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
231,2651-ZCBXV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
232,3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
233,8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
399,2519-ERQOJ,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
234,7083-MIOPC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
235,1984-GPTEH,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
236,1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No
237,0621-JFHOL,No,No phone service,DSL,No,No,No,Yes,No,No
238,9903-LYSAB,Yes,Yes,Fiber optic,No,No,No,No,No,No
239,0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
240,9227-UAQFT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
241,7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
242,6614-FHDBO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
243,7576-ASEJU,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
244,9058-HRZSV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
245,4522-AKYLR,Yes,No,DSL,No,Yes,Yes,No,No,No
246,0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No
247,0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes
248,9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No
249,0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No
250,0959-WHOKV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
251,4075-JFPGR,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
252,4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No
253,9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No
254,3282-ZISZV,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
255,3675-YDUPJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
256,4111-BNXIF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
257,7017-VFHAY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
258,6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
259,4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No
260,5046-NUHWD,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
261,7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes
262,3606-TWKGI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
263,7529-ZDFXI,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
264,7605-BDWDC,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
265,1950-KSVVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
266,0123-CRBRT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
267,6292-TOSSS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
268,3197-ARFOY,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
269,6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
270,7014-ZZXAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
271,4385-GZQXV,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
272,7633-MVPUY,Yes,No,DSL,Yes,Yes,No,Yes,No,No
273,6366-ZGQGL,No,No phone service,DSL,No,No,No,No,No,No
274,4716-HHKQH,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
275,5940-AHUHD,Yes,No,Fiber optic,No,No,No,No,No,No
276,6432-TWQLB,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
277,4484-GLZOU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
278,3179-GBRWV,Yes,No,DSL,Yes,Yes,No,No,No,Yes
279,8645-KWHJO,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
280,4130-MZLCC,Yes,No,DSL,No,Yes,No,No,No,No
281,0314-TKOSI,Yes,No,DSL,Yes,Yes,No,No,No,No
282,8229-MYEJZ,Yes,No,DSL,No,Yes,No,No,No,No
283,2080-SRCDE,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
284,9577-WJVCQ,Yes,Yes,DSL,Yes,No,No,No,No,No
285,9512-UIBFX,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
286,6202-DYYFX,Yes,Yes,Fiber optic,No,No,No,No,No,No
287,3808-HFKDE,Yes,No,DSL,No,No,No,No,No,No
288,5583-SXDAG,Yes,No,Fiber optic,No,No,No,No,No,No
289,3488-PGMQJ,Yes,No,Fiber optic,No,Yes,No,No,No,No
290,3580-REOAC,Yes,No,DSL,No,No,No,No,No,No
291,7534-BFESC,Yes,Yes,Fiber optic,No,No,No,No,No,No
292,3727-OWVYD,Yes,No,DSL,Yes,Yes,Yes,No,No,No
293,2294-SALNE,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
294,4847-TAJYI,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
295,1563-IWQEX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
296,8203-XJZRC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
297,6556-DBKZF,Yes,No,Fiber optic,No,No,Yes,No,No,No
298,6851-WEFYX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
299,2985-JUUBZ,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
300,6390-DSAZX,Yes,No,Fiber optic,Yes,No,No,No,No,No
301,0895-LMRSF,Yes,No,DSL,No,No,No,No,Yes,Yes
302,8098-LLAZX,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
303,8266-VBFQL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
304,8181-YHCMF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
305,2240-HSJQD,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
306,1248-DYXUB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
307,0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No
308,4115-BNPJY,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
309,3167-SNQPL,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
310,4091-TVOCN,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
311,1098-TDVUQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
312,7277-OZCGZ,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
313,1557-EMYVT,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
314,2799-ARNLO,Yes,No,Fiber optic,No,No,No,No,No,No
315,7563-BIUPC,Yes,No,Fiber optic,No,No,No,No,Yes,No
316,5027-YOCXN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
317,3973-SKMLN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
318,2321-OMBXY,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
319,2840-XANRC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
320,6745-JEFZB,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
321,5020-ZSTTY,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
322,9880-TDQAC,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
323,8705-WZCYL,Yes,No,DSL,No,No,No,No,No,No
324,7102-JJVTX,Yes,No,DSL,Yes,No,No,No,No,No
325,8626-PTQGE,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
