billing_id,customer_id,tenure,monthly_charges,total_charges
1166,8167-GJLRN,3,30.4,82.15
1167,0956-SYCWG,13,19.65,244.8
1168,8017-UVSZU,40,56.6,2379.1
1169,7100-FQPRV,43,71.9,3173.35
1170,2472-OVKUP,6,91,531
1171,2984-RGEYA,69,19.75,1375.4
1172,9680-NIAUV,72,109.7,8129.3
1173,2146-EGVDT,59,19.3,1192.7
1174,2604-IJPDU,20,96.55,1901.65
1175,9178-JHUVJ,24,24.1,587.4
1176,6168-YBYNP,59,111.35,6519.75
1177,7255-SSFBC,72,112.25,8041.65
1178,3645-DEYGF,1,20.75,20.75
1179,9323-HGFWY,27,101.9,2681.15
1180,8544-GOQSH,14,80.05,1112.3
1181,3363-DTIVD,71,105.55,7405.5
1182,7018-WBJNK,13,78.3,1033.95
1183,9142-KZXOP,44,68.85,2958.95
1184,7674-YTAFD,33,79.95,2684.85
1185,6348-SNFUS,72,55.45,4179.2
1186,1285-OKIPP,1,79.9,79.9
1187,7825-ECJRF,19,106.6,1934.45
1188,1347-KTTTA,64,102.45,6654.1
1189,7841-TZDMQ,2,46,84.5
1190,4195-NZGTA,1,25.25,25.25
1191,7157-SMCFK,61,19.75,1124.2
1192,4709-LKHYG,29,20,540.05
1193,2504-DSHIH,23,86.8,1975.85
1194,0699-NDKJM,57,58.75,3437.45
1195,9286-BHDQG,72,45.25,3139.8
1196,0230-WEQUW,66,56.6,3789.2
1197,2040-LDIWQ,65,84.2,5324.5
1198,6496-JDSSB,8,80,624.6
1199,9408-SSNVZ,4,70.15,268.35
1200,4443-EMBNA,71,24.75,1836.9
1201,6469-MRVET,1,20.2,20.2
1202,0742-MOABM,4,50.05,179.35
1203,5961-VUSRV,12,19.35,219.35
1204,6778-JFCMK,24,50.6,1288.75
1205,6341-JVQGF,31,81.15,2545.75
1206,2232-DMLXU,1,55.2,55.2
1207,4811-JBUVU,30,89.9,2723.15
1208,0945-TSONX,47,85.3,4107.25
1209,2651-ZCBXV,54,108,5760.65
1210,3316-UWXUY,50,93.5,4747.5
1211,8937-RDTHP,1,84.6,84.6
1212,7083-MIOPC,72,20.25,1566.9
1213,1984-GPTEH,29,25.15,702
1214,1251-KRREG,2,54.4,114.1
1215,0621-JFHOL,10,29.6,299.05
1216,9903-LYSAB,18,73.15,1305.95
1217,0094-OIFMO,11,95,1120.3
1218,9227-UAQFT,16,19.75,284.35
1219,7301-ABVAD,72,86.6,6350.5
1220,6614-FHDBO,72,109.2,7878.3
1221,7576-ASEJU,41,74.7,3187.65
1222,9058-HRZSV,65,94.4,6126.15
1223,4522-AKYLR,13,54.8,731.3
1224,0221-WMXNQ,4,75.35,273.4
1225,0303-UNCIP,41,65,2531.8
1226,9947-OTFQU,15,74.4,1074.3
1227,0322-YINQP,1,48.55,48.55
1228,0959-WHOKV,42,99,4298.45
1229,4075-JFPGR,51,93.5,4619.55
1230,4629-NRXKX,2,70.4,147.15
1231,9514-JDSKI,1,40.2,40.2
1232,3282-ZISZV,32,83.7,2633.3
1233,3675-YDUPJ,10,19.85,193.05
1234,4111-BNXIF,67,59.55,4103.9
1235,7017-VFHAY,61,115.1,7008.15
1236,6655-LHBYW,50,114.35,5791.1
1237,4959-JOSRX,2,44.6,80.55
1238,5046-NUHWD,29,45,1228.65
1239,7273-TEFQD,3,41.15,132.2
1240,3606-TWKGI,13,106.9,1364.3
1241,7529-ZDFXI,57,89.85,4925.35
1242,7605-BDWDC,31,49.85,1520.1
1243,1950-KSVVJ,45,113.3,5032.25
1244,0123-CRBRT,61,88.1,5526.75
1245,6292-TOSSS,50,24.9,1195.25
1246,3197-ARFOY,19,105,2007.25
1247,6323-AYBRX,59,19.35,1099.6
1248,7014-ZZXAW,71,24.25,1732.95
1249,4385-GZQXV,16,94.45,1511.2
1250,7633-MVPUY,57,59.75,3450.15
1251,6366-ZGQGL,1,24.8,24.8
1252,4716-HHKQH,20,107.05,2172.05
1253,5940-AHUHD,1,70.6,70.6
1254,6432-TWQLB,5,85.4,401.1
1255,4484-GLZOU,52,105.05,5624.85
1256,3179-GBRWV,21,64.95,1339.8
1257,8645-KWHJO,14,55,771.95
1258,4130-MZLCC,5,50.55,244.75
1259,0314-TKOSI,6,55.15,322.9
1260,8229-MYEJZ,10,51.2,498.25
1261,2080-SRCDE,1,25.4,25.4
1262,9577-WJVCQ,68,54.45,3687.75
1263,9512-UIBFX,18,95.15,1779.95
1264,6202-DYYFX,22,76,1783.6
1265,3808-HFKDE,20,44.35,927.15
1266,5583-SXDAG,1,70,70
1267,3488-PGMQJ,8,74.5,606.55
1268,3580-REOAC,10,44.85,435.4
1269,7534-BFESC,24,76.1,1712.7
1270,3727-OWVYD,35,61.2,2021.2
1271,2294-SALNE,23,86.8,1940.8
1272,4847-TAJYI,6,89.35,567.8
1273,1563-IWQEX,12,19.7,220.35
1274,8203-XJZRC,1,20.25,20.25
1275,6556-DBKZF,71,76.05,5436.45
1276,6851-WEFYX,35,100.8,3437.5
1277,2985-JUUBZ,40,74.55,3015.75
1278,6390-DSAZX,1,73.6,73.6
1279,0895-LMRSF,23,64.9,1509.8
1280,8098-LLAZX,4,95.45,396.1
1281,8266-VBFQL,4,90.4,356.65
1282,8181-YHCMF,68,60.3,4109
1283,2240-HSJQD,38,81.85,3141.7
1284,1248-DYXUB,52,24.8,1229.1
1285,0265-EDXBD,32,74.9,2303.35
1286,4115-BNPJY,29,75.55,2054.4
1287,3167-SNQPL,38,101.15,3741.85
1288,4091-TVOCN,48,78.75,3682.45
1289,1098-TDVUQ,1,19.25,19.25
1290,7277-OZCGZ,22,89.05,1886.25
1291,1557-EMYVT,43,115.05,4895.1
1292,2799-ARNLO,5,69.35,341.6
1293,7563-BIUPC,5,80.6,415.55
1294,5027-YOCXN,51,110.05,5686.4
1295,3973-SKMLN,71,19.9,1355.1
1296,2321-OMBXY,38,80.3,3058.65
1297,2840-XANRC,24,93.15,2231.05
1298,6745-JEFZB,35,91.5,3236.35
1299,5020-ZSTTY,54,82.45,4350.1
1300,9880-TDQAC,72,60,4264
1301,8705-WZCYL,1,44.8,44.8
1302,7102-JJVTX,9,48.6,422.3
1303,8626-PTQGE,69,60.05,4176.7
1304,4983-CLMLV,52,102.7,5138.1
1305,5701-YVSVF,11,82.9,880.05
1306,5804-LEPIM,2,70.35,139.05
1307,5697-GOMBF,28,35.9,973.65
1308,2739-CACDQ,17,82.65,1470.05
1309,9385-EHGDO,35,19.85,739.35
1310,9498-FIMXL,8,19.2,161.95
1311,2379-GYFLQ,46,94.9,4422.95
1312,0122-OAHPZ,7,73.85,511.25
1313,2868-SNELZ,2,80.6,155.8
1314,4322-RCYMT,68,75.8,5293.95
1315,6680-NENYN,43,104.6,4759.85
1316,2088-IEBAU,68,88.15,6148.45
1317,7982-VCELR,36,94.8,3565.65
1318,1343-EHPYB,63,103.4,6603
1319,6035-BXTTY,32,54.65,1830.1
1320,6885-PKOAM,71,85.75,6223.8
1321,7520-HQWJU,66,67.45,4508.65
1322,9639-BUJXT,63,20.5,1328.15
1323,5924-SNGKP,41,20.25,865
1324,0021-IKXGC,1,72.1,72.1
1325,2034-GDRCN,2,90.4,168.2
1326,8966-SNIZF,70,19.45,1303.5
1327,6243-OZGFH,23,44.95,996.85
1328,4654-DLAMQ,64,97,6430.9
1329,0513-RBGPE,37,62.8,2278.75
1330,5160-UXJED,17,44.6,681.4
1331,4115-NZRKS,7,89.15,574.35
1332,0219-YTZUE,4,84.8,371.9
1333,0623-IIHUG,21,41.9,840.1
1334,4572-DVCGN,10,80.25,846
1335,3351-NGXYI,16,54.1,889
1336,8984-EYLLL,64,105.25,6823.4
1337,9057-MSWCO,27,30.75,805.1
1338,9833-TGFHX,42,97.1,4016.75
1339,9294-TDIPC,5,20.2,83.75
1340,5229-DTFYB,41,98.8,3959.15
1341,0104-PPXDV,58,50.3,2878.55
1342,5176-LMJXE,47,20.55,945.7
1343,3583-KRKMD,18,75.9,1373.05
1344,1010-DIAUQ,5,96.5,492.55
1345,9069-LGEUL,23,59.95,1406
1346,7302-ZHMHP,1,19.15,19.15
1347,9571-EDEBV,71,98.65,6962.85
1348,3520-FJGCV,72,112.6,8126.65
1349,6563-VRERX,33,20.6,690.25
1350,0259-GBZSH,2,85.65,181.5
1351,6122-EFVKN,24,35.75,830.8
1352,2805-EDJPQ,56,99.75,5608.4
1353,6862-CQUMB,37,96.1,3646.8
1354,7156-MXBJE,43,85.1,3662.25
1355,6158-HDPXZ,1,25.35,25.35
1356,9601-BRXPO,25,104.95,2566.5
1357,2863-IMQDR,61,89.65,5308.7
1358,5686-CMAWK,17,86.75,1410.25
1359,5651-CRHKQ,41,86.2,3339.05
1360,6905-NIQIN,1,50.65,50.65
1361,8204-YJCLA,72,64.8,4732.35
1362,5167-ZFFMM,1,90.85,90.85
1363,6583-SZVGP,48,108.1,5067.45
1364,4895-TMWIR,11,19.95,214.75
1365,0533-BNWKF,55,85.45,4874.7
1366,1708-PBBOA,42,54.75,2348.45
1367,8782-LKFPK,44,90.4,4063
1368,5522-JBWMO,1,44,44
1369,3597-MVHJT,27,95.6,2595.25
1370,9774-NRNAU,27,84.8,2309.55
1371,0224-RLWWD,2,44.3,89.3
1372,9967-ATRFS,19,19.9,367.55
1373,3951-NJCVI,42,95.05,3944.5
1374,2977-CEBSX,66,90.05,5965.95
1375,0177-PXBAT,33,109.9,3694.7
1376,6599-CEBNN,34,73.95,2524.45
1377,2519-ERQOJ,33,54.6,1803.7
1378,5876-QMYLD,23,20.05,415.1
1379,2277-AXSDC,32,19.75,624.15
1380,9442-JTWDL,11,20.05,237.7
1381,0979-PHULV,69,99.45,7007.6
1382,3067-SVMTC,68,55.9,3848.8
1383,5495-GPSRW,20,19.7,419.4
1384,7606-BPHHN,72,19.8,1468.75
1385,4742-DRORA,60,95.4,5812
1386,0111-KLBQG,32,93.95,2861.45
1387,4800-VHZKI,1,19.9,19.9
1388,7989-CHGTL,1,19.6,19.6
1389,0334-GDDSO,3,81.35,233.7
1390,4163-NCJAK,46,24.45,1066.15
1391,5233-AOZUF,29,74.95,2149.05
1392,5973-EJGDP,51,87.35,4473
1393,1996-DBMUS,48,70.65,3545.05
1394,7916-VCCPB,16,73.25,1195.75
1395,4686-GEFRM,70,98.7,6858.9
1396,5249-QYHEX,40,24.8,1024.7
1397,0578-SKVMF,22,83.3,1845.9
1398,5564-NEMQO,1,75.3,75.3
1399,2233-FAGXV,5,24.3,132.25
1400,5605-IYGFG,7,69.85,515.45
1401,7663-ZTEGJ,29,100.55,2830.45
1402,3935-TBRZZ,44,25.7,1110.5
1403,8111-BKVDS,10,40.7,449.3
1404,2055-SIFSS,55,51.65,2838.55
1405,2806-MLNTI,52,105.1,5376.4
1406,8734-DKSTZ,10,85.95,858.6
1407,4360-PNRQB,18,75.6,1395.05
1408,6152-ONASV,68,58.25,3975.7
1409,9063-ZGTUY,61,19.4,1182.55
1410,7781-HVGMK,72,65.2,4784.45
1411,2181-UAESM,2,53.45,119.5
1412,2957-LOLHO,12,45.4,518.9
1413,6048-NJXHX,41,19.75,899.45
1414,2320-SLKMB,26,44.45,1183.8
1415,4980-URKXC,36,20.85,720.05
1416,4376-KFVRS,72,114.05,8468.2
1417,5886-VLQVU,35,89.85,3161.2
1418,3577-AMVUX,1,55.05,55.05
1419,0771-WLCLA,16,112.95,1882.55
1420,5628-RKIFK,49,101.55,5070.4
1421,0206-TBWLC,54,114.65,6049.5
1422,2937-FTHUR,18,64.8,1166.7
1423,1910-FMXJM,36,80.4,2937.65
1424,7752-XUSCI,60,105.9,6396.45
1425,4110-PFEUZ,1,69.55,69.55
1426,0732-OCQOC,52,25.05,1270.25
1427,5168-MSWXT,8,94.75,759.55
1428,1090-ESELR,72,105.5,7611.55
1429,8592-PLTMQ,64,24.7,1642.75
1430,5760-WRAHC,22,69.75,1545.4
1431,8847-GEOOQ,60,60.2,3582.4
1432,0256-LTHVJ,28,81.05,2227.1
1433,4785-FCIFB,61,24.4,1417.9
1434,8313-NDOIA,24,104.15,2494.65
1435,5149-CUZUJ,28,92.9,2768.35
1436,0942-KOWSM,30,80.8,2369.3
1437,4237-CLSMM,2,20,38
1438,1452-VOQCH,1,75.1,75.1
1439,4719-UMSIY,6,19.65,100.9
1440,6614-VBEGU,24,69.45,1614.05
1441,0880-TKATG,4,101.15,385.9
1442,3811-VBYBZ,7,99.8,673.25
1443,1480-BKXGA,72,116.05,8404.9
1444,2996-XAUVF,70,40.05,2799.75
1445,9076-AXYIK,64,102.1,6538.45
1446,5968-XQIVE,72,89.7,6588.95
1447,8896-RAZCR,44,19.9,868.1
1448,4640-UHDOS,13,55.95,734.35
1449,4933-IKULF,17,20.65,330.6
1450,3583-EKAPL,1,55,55
1451,1304-BCCFO,9,70.05,564.4
1452,4104-PVRPS,24,53.6,1315.35
1453,9399-APLBT,1,74.7,74.7
1454,2359-KMGLI,24,80.25,1861.5
1455,3780-DDGSE,35,76.05,2747.2
1456,4431-EDMIQ,7,75.7,554.05
1457,0306-JAELE,5,96.1,453.4
1458,6227-HWPWX,15,69,994.8
1459,0486-LGCCH,11,19.65,225.75
1460,0447-BEMNG,48,45.3,2145
1461,4612-SSVHJ,20,81.45,1671.6
1462,5168-MQQCA,72,108.5,8003.8
1463,5949-XIKAE,8,83.55,680.05
1464,7971-HLVXI,72,84.5,6130.85
1465,9094-AZPHK,15,100.15,1415
1466,3649-JPUGY,72,88.6,6201.95
1467,4472-LVYGI,0,52.55,
1468,8372-JUXUI,1,74.35,74.35
1469,3552-CTCYF,63,104.8,6597.25
1470,6778-YSNIH,2,59,114.15
1471,0388-EOPEX,2,74.4,139.4
1472,5756-OZRIO,61,64.05,3902.6
1473,6579-JPICP,1,20.4,20.4
1474,8205-OTCHB,22,43.75,903.6
1475,4134-BSXLX,28,60.9,1785.65
1476,0505-SPOOW,70,19.8,1397.65
1477,6235-VDHOM,5,28.45,131.05
1478,7783-YKGDV,12,99.7,1238.45
1479,4374-YMUSQ,34,116.25,3899.05
1480,4513-CXYIX,71,80.7,5676
1481,3957-HHLMR,70,65.2,4543.15
1482,7803-XOCCZ,52,84.05,4326.8
1483,5736-YEJAX,69,79.45,5502.55
1484,5609-CEBID,20,94.1,1782.4
1485,8981-FJGLA,11,78,851.8
1486,7218-HKQFK,2,94.2,167.5
1487,4636-QRJKY,6,80.5,502.85
1488,1135-LMECX,1,19.85,19.85
1489,4332-MUOEZ,20,94.3,1818.3
1490,8535-SFUTN,61,106.45,6300.15
1491,5956-VKDTT,5,74.35,334.8
1492,8677-HDZEE,56,105.45,5916.95
1493,2475-MROZF,30,95,2852.4
1494,9412-GHEEC,40,104.8,4131.95
1495,3482-ABPKK,28,54.3,1546.3
1496,6705-LXORM,5,70.05,302.6
1497,0257-ZESQC,27,75.2,1929.35
1498,7531-GQHME,12,20.05,265.45
1499,5174-ITUMV,67,105.4,6989.45
1500,4109-CYRBD,29,51.6,1442
1501,0913-XWSCN,55,85.5,4713.4
1502,6825-UYPFK,23,75.6,1758.6
1503,8397-MVTAZ,34,100.05,3480
1504,0750-EBAIU,52,91.25,4738.3
1505,8606-CIQUL,72,115.75,8399.15
1506,3571-DPYUH,58,94.7,5430.35
1507,7601-GNDYK,35,19.6,686.95
1508,0356-OBMAC,56,99.9,5706.3
1509,8067-NIOYM,24,21.1,490.65
1510,1403-GYAFU,70,20.05,1360.25
1511,4234-XTNEA,2,79.95,174.45
1512,1297-VQDRP,68,107.15,7379.8
1513,9282-IZGQK,1,85,85
1514,5348-CAGXB,12,89.55,1021.75
1515,0621-HJWXJ,63,81.55,5029.05
1516,5844-QVTAT,33,58.45,1955.4
1517,8905-IAZPF,69,95.65,6744.2
1518,5394-MEITZ,60,80.6,4946.7
1519,6859-QNXIQ,72,113.1,8248.5
1520,2782-LFZVW,11,58.95,601.6
1521,2866-IKBTM,1,19.55,19.55
1522,1342-JPNKI,10,86.05,834.1
1523,2817-NTQDO,13,45.55,597
1524,7129-AZJDE,34,78.95,2647.2
1525,6986-IJDHX,39,86.3,3266
1526,2560-PPCHE,65,105.05,6744.25
1527,4676-MQUEA,50,101.9,5265.5
1528,8138-EALND,15,19.75,311.6
1529,3580-HYCSP,72,110.3,7966.9
1530,1352-HNSAW,72,115.6,8220.4
1531,2075-PUEPR,55,19.35,1153.25
1532,1982-FEBTD,23,25.6,514.75
1533,5301-GAUUY,32,80.35,2596.15
1534,5791-KAJFD,56,68.75,3808
1535,2654-VBVPB,1,19.9,19.9
1536,1154-HYWWO,38,70.6,2708.2
1537,2501-XWWTZ,11,70.2,760.05
1538,3716-UVSPD,1,49.3,49.3
1539,6815-ABQFQ,56,107.25,6033.3
1540,7343-EOBEU,3,23.6,89.05
1541,3701-SFMUH,7,69.7,516.15
1542,6103-LIANB,59,99.5,5861.75
1543,7319-VENRZ,7,64.3,445.95
1544,5846-NEQVZ,71,70.85,4973.4
1545,6967-QIQRV,15,101.9,1667.25
1546,5781-RFZRP,71,73.5,5357.75
1547,0939-YAPAF,35,100.25,3527.6
1548,0308-IVGOK,11,40.4,422.6
1549,7293-LSCDV,60,19.25,1103.25
1550,7025-WCBNE,47,59.6,2754
1551,5756-JYOJT,11,64.9,697.25
1552,4710-FDUIZ,56,100.3,5614.45
1553,6030-REHUX,28,110.85,3204.4
1554,9548-LIGTA,61,81.05,4747.65
1555,5150-LJNSR,31,98.05,3082.1
1556,8270-RKSAP,9,70.5,597.9
1557,6522-YRBXD,35,94.55,3365.4
1558,2640-LYMOV,2,19.65,38.8
1559,1218-VKFPE,12,19,233.55
1560,3627-FHKBK,1,75.3,75.3
1561,2865-TCHJW,4,89.2,346.2
1562,1423-BMPBQ,1,19,19
1563,2393-DIVAI,3,20,61.7
1564,5192-EBGOV,1,85.7,85.7
1565,4568-KNYWR,52,63.25,3342.45
1566,8752-IMQOS,5,20.1,85.1
1567,0742-LAFQK,72,99.15,7422.1
1568,0795-LAFGP,71,90.4,6668.05
1569,0619-OLYUR,72,111.9,8071.05
1570,5512-IDZEI,46,24.9,1174.8
1571,0459-SPZHJ,63,83.5,5435
1572,0215-BQKGS,30,84.3,2438.6
1573,9244-ZVAPM,1,45.6,45.6
1574,0719-SYFRB,12,61.65,713.75
1575,8208-EUMTE,16,54.85,916.15
1576,5172-MIGPM,4,65.55,237.2
1577,1710-RCXUS,51,90.35,4614.55
1578,0374-FIUCA,65,20.4,1414.45
1579,5839-SUYVZ,16,74.55,1170.5
1580,5173-ZXXXL,2,19.95,47.7
1581,1096-ADRUX,66,74.25,4859.25
1582,2001-MCUUW,46,108.65,4903.2
1583,2731-GJRDG,32,109.55,3608
1584,4723-BEGSG,72,86.65,6094.25
1585,6516-NKQBO,38,81,3084.9
1586,8672-OAUPW,51,47.85,2356.75
1587,8207-DMRVL,72,114.55,8306.05
1588,3419-SNJJD,65,105.25,6786.4
1589,6543-CPZMK,9,29.95,248.95
1590,4765-OXPPD,9,65,663.05
1591,2804-ETQDK,66,20.55,1357.1
1592,6689-VRRTK,44,109.8,4860.35
1593,7138-GIRSH,50,69.5,3418.2
1594,9396-ZSFLL,15,48.85,631.4
1595,6464-KEXXH,8,25.25,186.3
1596,7134-MJPDY,66,102.85,6976.75
1597,5240-CAOYT,57,87.55,4884.85
1598,4059-IIEBK,7,78.55,522.95
1599,4881-JVQOD,10,34.55,362.6
1600,0516-UXRMT,62,92.05,5755.8
